"id","security_no","symbol","name","index_name","weight_percent","market_cap_millions","isin","created_at","updated_at","logo_svg","logo_url"
1,"691212","DSCT","DISCOUNT","TA-125",NULL,NULL,NULL,"2025-07-18 20:51:03.688615+03","2025-07-18 20:51:03.688615+03","<svg width=""56"" height=""56"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path fill=""url(#a)"" d=""M0 0h56v56H0z""/><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M40 27.641V25c0-1.313-.795-2-1.5-2h-5c-.75 0-1.5.717-1.5 2v2.443C32 30.206 34.023 31 36 31c2.07 0 4-.535 4-3.359Zm-3 0c0 .856-.25 1.359-1 1.359s-1-.52-1-1.359V25.81c0-.64.101-.809.5-.809h1c.399 0 .5.168.5.81v1.831Zm-24-2.367v2.108C13 30.053 11.234 31 8.5 31 5.816 31 4 30.023 4 27.382V23h3v4.641C7 28.481 7.634 29 8.5 29c.848 0 1.5-.55 1.5-1.359V26c0-.947-.288-1-.738-1H9v-2h2.5c1.297 0 1.5.596 1.5 2.274ZM18 26v3c0 1.644-.306 1.999-1 2h-4v-2h1.5c.22 0 .5-.28.5-1v-2c0-.532-.043-1-.5-1H14v-2h2.5c1.423 0 1.5.95 1.5 3Zm4-1c0-.923-.666-2-2-2h-1.5v2c.5 0 .5.203.5.5V31h3v-6Zm6.5-2c1.703 0 3 1.176 3 4 0 3.714-2.763 3.999-4.5 4v-2c1 0 1.5-.413 1.5-2 0-1.492-1.27-2-2-2H23v-2h5.5ZM26 34h-3v-7h3v7Zm18-9.322V28h-3v-2.5c0-.323-.122-.5-.5-.5v-2h1.782c1.34 0 1.718.677 1.718 1.678ZM52 25v-2h-7v2h3.5l-.038.022C47.964 25.312 47 25.871 47 27v4h3v-4.384c0-.814.653-1.412 1-1.616h1Zm-1.632 6c-5.085 3.28-16.495 4.052-22.868 4.052-6.375 0-17.87-.339-22.954-3.619-.045-.03-.168-.089-.259-.05-.054.024-.072.055-.099.1-.117.197-.16.411-.178.683-.018.269-.023.43.083.686a1.051 1.051 0 0 0 .294.386c.121.089.437.282.52.333l.017.011C11.38 37.496 20.115 38 27.5 38c7.139 0 17.16-.297 23.112-4.763a1.055 1.055 0 0 0 .294-.386c.107-.253.102-.416.084-.685-.007-.111-.603-1.178-.622-1.166Z"" fill=""#F0F3FA""/><defs><linearGradient id=""a"" x1=""0"" y1=""28"" x2=""56"" y2=""30"" gradientUnits=""userSpaceOnUse""><stop stop-color=""#23A76B""/><stop offset=""1"" stop-color=""#44BF5E""/></linearGradient></defs></svg>","https://s3-symbol-logo.tradingview.com/discount--big.svg"
2,"662577","POLI","POALIM","TA-125",NULL,NULL,NULL,"2025-07-18 20:51:03.688615+03","2025-07-18 20:51:03.688615+03","<svg width=""56"" height=""56"" xmlns=""http://www.w3.org/2000/svg""><path fill=""#EF3534"" d=""M0 0h56v56H0z""/><path d=""M13.193 30.88a4.072 4.072 0 010-5.76L25.12 13.194a4.072 4.072 0 015.759 0L42.806 25.12a4.072 4.072 0 010 5.759L30.88 42.806a4.072 4.072 0 01-5.759 0L13.194 30.88z"" fill=""#fff""/></svg>","https://s3-symbol-logo.tradingview.com/bank-hapoalim--big.svg"
3,"695437","MZTF","MIZRAHI TEFAHOT","TA-125",NULL,NULL,NULL,"2025-07-18 20:51:03.688615+03","2025-07-18 20:51:03.688615+03","<svg width=""56"" height=""56"" xmlns=""http://www.w3.org/2000/svg""><path fill=""#4D555A"" d=""M0 0h56v56H0z""/><path d=""M44.045 31.197c.264-1.784-.707-3.834-2.311-5.174-2.411-2.017-6.744-2.936-10.935-.453-.215.128-.424.147-.525.088-.161-.092-.137-.321-.012-.47.89-1.072 4.532-5.825 9.733-5.825 3.456 0 6.709 2.35 7.64 5.718.244.882.358 1.62.364 2.254 0 0-.491 2.15-3.058 3.45-.28.142-.58.282-.896.412z"" fill=""#fff""/><path d=""M25.574 21.97c1.228 1.076 7.853 6.74 8.652 7.425 4.311 3.69 8.258 2.634 10.715 1.39 2.566-1.3 3.058-3.45 3.057-3.45.011.714.12 5.07-4.309 7.906-2.898 1.856-7.937 3.31-13.555-1.426-1.12-.946-8.265-6.894-9.063-7.577-4.312-3.69-8.518-2.43-10.996-.335-.728.616-1.663 1.676-2.046 2.62.026-.438-.063-2.893 2.534-5.88C11.808 21.213 14.23 19 18.312 19c2.37 0 4.501.546 7.262 2.97z"" fill=""#F5821F""/><path d=""M8.337 31.547a8.072 8.072 0 01-.305-3.03c.385-.942 1.316-2 2.043-2.614a8.913 8.913 0 011.907-1.237c-.424 1.866.566 3.915 2.256 5.329 2.413 2.016 6.59 2.94 10.78.457.215-.129.434-.162.525-.088.148.12.142.306.014.47-.86 1.096-4.427 5.856-9.629 5.856-3.454 0-6.597-1.791-7.59-5.143z"" fill=""#fff""/></svg>","https://s3-symbol-logo.tradingview.com/mizrahi-tefahot--big.svg"
4,"604611","LUMI","LEUMI","TA-125",NULL,NULL,NULL,"2025-07-18 20:51:03.688615+03","2025-07-18 20:51:03.688615+03","<svg width=""56"" height=""56"" xmlns=""http://www.w3.org/2000/svg""><path fill=""url(#paint0_linear)"" d=""M0 0h56v56H0z""/><path d=""M42.235 29a8 8 0 01-3.946-1.04l-1.904-1.08a17 17 0 00-16.77 0l-1.904 1.08A8 8 0 0113.765 29H0v2.125h56V29H42.235z"" fill=""#fff""/><defs><linearGradient id=""paint0_linear"" x1=""11.024"" y1=""0"" x2=""10.99"" y2=""56"" gradientUnits=""userSpaceOnUse""><stop offset="".536"" stop-color=""#0197F0""/><stop offset="".536"" stop-color=""#014795""/></linearGradient></defs></svg>","https://s3-symbol-logo.tradingview.com/leumi--big.svg"
5,"629014","TEVA","TEVA","TA-125",NULL,NULL,NULL,"2025-07-18 20:51:03.688615+03","2025-07-18 20:51:03.688615+03","<svg width=""56"" height=""56"" xmlns=""http://www.w3.org/2000/svg""><path fill=""#F0F3FA"" d=""M0 0h56v56H0z""/><path d=""M47 23.326v.984c-.968-.777-2.251-1.187-3.56-1.187-3.313 0-5.907 2.782-5.907 6.335 0 1.586.546 3.097 1.538 4.256 1.096 1.286 2.794 2.054 4.542 2.054 1.253 0 2.447-.4 3.387-1.187v1.062c0 .15.127.357.275.357h2.519c.148 0 .206-.207.206-.357V23.326c0-.15-.058-.326-.206-.326h-2.608c-.149 0-.186.176-.186.326zm.158 6.132c0 1.646-1.255 3.271-3.178 3.271-1.842 0-3.177-1.414-3.177-3.271 0-2.06 1.524-3.284 3.139-3.284 2.003 0 3.216 1.637 3.216 3.284zM12.023 32.832c-.731 0-1.254-.226-1.606-.666-.265-.33-.388-.773-.388-1.5V26h3.37c.143 0 .258-.12.258-.264v-2.487a.25.25 0 00-.258-.25h-3.37V20.27a.27.27 0 00-.27-.271H7.267a.27.27 0 00-.27.271V23H4.296c-.15 0-.295.11-.295.261v2.463c0 .15.146.276.295.276h2.703v4.37c0 1.71.267 2.796.895 3.632.854 1.149 2.296 1.756 4.172 1.756 1.445 0 2.13-.344 2.628-.739.144-.114.173-.37.088-.492-.07-.098-1.183-1.878-1.183-1.878-.101-.165-.315-.202-.495-.104-.243.134-.708.287-1.08.287z"" fill=""#204E77""/><path d=""M19.843 23.116c-1.68 0-3.195.675-4.27 1.9-1.024 1.17-1.588 2.744-1.588 4.435 0 3.715 2.592 6.31 6.303 6.31 1.631 0 3.237-.599 4.37-1.597.05-.045.11-.103.172-.165a.273.273 0 00.025-.356l-1.295-1.72a.266.266 0 00-.398-.033 4.486 4.486 0 01-.257.229c-.536.437-1.403.964-2.543.964-1.706 0-3.017-1.43-3.202-3.083h7.957a.372.372 0 00.383-.332c.015-.154.028-.357.028-.605 0-1.663-.566-2.953-1.594-4.109a5.407 5.407 0 00-4.09-1.838zm0 2.677c1.024 0 2.201.935 2.337 2.207h-4.87c.154-.996 1.156-2.207 2.533-2.207z"" fill=""#204E77""/><path d=""M32 32.649v-1.736c.001-.708.167-1.499.447-2.305.317-.918.773-1.697 1.278-2.265l.878-1.08v4.059L32 32.649z"" fill=""#269E75""/><path d=""M34.603 25.253l1.53-1.945a.472.472 0 01.545-.154.51.51 0 01.324.486L37 26.204l-2.397 3.108v-4.059z"" fill=""#9FD142""/><path d=""M37 26.204v1.473c.026.756-.121 1.627-.426 2.51-.28.806-.645 1.514-1.077 2.058l-.894 1.166v-4.08L37 26.204z"" fill=""#35786E""/><path d=""M34.604 29.313v4.08l-1.733 2.175a.472.472 0 01-.545.154.513.513 0 01-.326-.486V32.65l2.604-3.337z"" fill=""#204E77""/><path d=""M31 32.649v-1.736c-.001-.708-.166-1.499-.446-2.305-.317-.918-.773-1.697-1.278-2.265l-.77-.972v4.06L31 32.649z"" fill=""#269E75""/><path d=""M28.505 25.371l-1.637-2.063a.471.471 0 00-.544-.154.511.511 0 00-.324.486l.013 2.564 2.491 3.227v-4.06z"" fill=""#9FD142""/><path d=""M26.012 26.204l.008 1.473c-.026.757.102 1.627.408 2.51.28.806.644 1.514 1.076 2.058l1 1.266v-4.08l-2.492-3.227z"" fill=""#35786E""/><path d=""M28.505 29.431v4.08l1.625 2.057c.132.17.35.228.545.154a.513.513 0 00.325-.486V32.65l-2.495-3.218z"" fill=""#204E77""/></svg>","https://s3-symbol-logo.tradingview.com/teva--big.svg"
6,"1084557","NVMI","NOVA","TA-125",NULL,NULL,NULL,"2025-07-18 20:51:03.688615+03","2025-07-18 20:51:03.688615+03","<svg xmlns=""http://www.w3.org/2000/svg"" width=""56"" height=""56"" viewBox=""0 0 56 56""><path fill=""#F0F3FA"" d=""M0 0h56v56H0z""/><path d=""M8 25.8V33H6V23h1.46L16 30.1V23h2v10h-1.25L8 25.8Z"" fill=""#071866""/><path fill-rule=""evenodd"" d=""M24.5 33a5 5 0 1 0 0-10 5 5 0 0 0 0 10Zm0-2a3 3 0 1 0 0-6 3 3 0 0 0 0 6Z"" fill=""#071866""/><path d=""M42.33 23 33 30.47V23h-2v10h2l12.52-10h-3.19ZM36.71 33l11.7-10H50v10l-2-1v-6.08L39.87 33H36.7Z"" fill=""#071866""/><path d=""M42.6 26a6.94 6.94 0 0 0 3.53 4.11c1.36.71 2.7.92 3.87.75V33c-1.47 0-3.16-.15-4.72-.96A9.25 9.25 0 0 1 41 27.42L42.6 26Z"" fill=""url(#apjo2z1su)""/><defs><linearGradient id=""apjo2z1su"" x1=""41.67"" y1=""27.14"" x2=""49.81"" y2=""31.35"" gradientUnits=""userSpaceOnUse""><stop stop-color=""#A30B9E""/><stop offset=""1"" stop-color=""#720DFD""/></linearGradient></defs></svg>","https://s3-symbol-logo.tradingview.com/nova--big.svg"
7,"1081124","ESLT","ELBIT SYSTEMS","TA-125",NULL,NULL,NULL,"2025-07-18 20:51:03.688615+03","2025-07-18 20:51:03.688615+03","<svg width=""56"" height=""56"" xmlns=""http://www.w3.org/2000/svg""><path fill=""#FDE134"" d=""M0 0h56v56H0z""/><path d=""M32 32c-2.466 0-2.883 3-5.978 3H5.775l32.178-15.532L52.923 32H32z"" fill=""#1B458F""/><path d=""M38.208 17.638L6.178 34h19.84c2.265 0 3-3 6.306-3h20.647L38.208 17.638z"" fill=""#fff""/><path d=""M7.26 25l-.192 1h1.885l-.2 1H6.826l-.226 1h2.263l-.213 1.002H5l.957-4.287c.076-.408.294-.715.507-.715h3.142l-.214 1H7.26zM9.09 29.002L10.084 24h1.236l-.996 5.002H9.089zM12.313 28.084c.662-.076 1.228-.421 1.347-1.017a.66.66 0 00-.58-.819h-.456l-.367 1.842.056-.006zm1.23-2.754c1.298 0 1.544 1 1.402 1.713-.244 1.226-1.526 1.959-2.797 1.959H10.84L11.836 24h1.236l-.265 1.33h.736zM15.66 25l.183-1h1.236l-.183 1H15.66zm-.813 4.002l.731-3.61h1.236l-.732 3.61h-1.235zM19.413 25l-.177 1h-.693l-.293 1.498c-.042.227.014.487.307.502h.45l-.48 1.002h-.576c-.72 0-1.15-.259-.98-1.187L17.307 26h-.295l.177-1h.295l.173-.924 1.317-.5L18.72 25h.693zM23.528 25h-.331c-.115.016-.256.105-.283.241-.019.092.011.17.05.233.02.032.042.061.065.088l.065.077.816 1.09c.284.347.535.684.44 1.15-.085.422-.492 1.123-1.705 1.123H21V28h1.48c.115-.016.26-.096.287-.233a.311.311 0 00-.05-.232.747.747 0 00-.064-.088l-.066-.076-.79-1.084c-.275-.354-.526-.69-.432-1.157.085-.422.492-1.13 1.706-1.13h1.56l-.271 1h-.832zM30.196 26c-.267 0-.412-.028-.444.146a.24.24 0 00.024.148.541.541 0 00.03.053l.026.044.45.708c.167.26.28.54.218.865-.09.478-.554 1.036-1.181 1.036h-1.304L28 28h.582c.108 0 .291-.006.395-.05a.231.231 0 00.113-.152c.014-.075-.018-.152-.046-.208-.03-.056-.067-.111-.088-.148l-.425-.695c-.169-.27-.29-.523-.228-.853.047-.25.37-.894 1.246-.894h1.305l-.174 1h-.484zM33.459 25l-.177 1h-.692l-.294 1.613c-.041.222.014.372.308.387h.449l-.48 1.002h-.576c-.72 0-1.15-.252-.98-1.157L31.354 26h-.295l.176-1h.296l.148-.773 1.302-.353L32.766 25h.693zM42.436 26.483L41.981 29H40.78l.416-2.307c.088-.547.085-.68-.494-.693h-.244l-.548 3h-1.201l.548-3h-.87l-.549 3h-1.2l.73-4h3.913c1.11 0 1.346.47 1.155 1.483zM44.71 26c-.266 0-.411-.004-.444.175a.257.257 0 00.025.15.554.554 0 00.029.056l.026.044.45.726c.168.267.28.554.219.887a1.21 1.21 0 01-1.182.962H42.53l-.114-.996h.68c.049 0 .366.007.41-.012a.162.162 0 00.099-.124.354.354 0 00-.047-.213c-.03-.058-.066-.115-.087-.152l-.426-.713c-.168-.277-.29-.536-.228-.874.048-.257.37-.916 1.246-.916h1.306l-.175 1h-.484z"" fill=""#1B458F""/><path d=""M24.203 30c.094-.067.19-.17.344-.41l.727-1.092L24.557 25h1.34l.267 1.993.909-1.993h1.357l-2.543 4.651c-.11.202-.368.348-.52.349h-1.164zM35.421 25.887c-.765 0-.904.83-.819 1.099.386-.044.959-.334 1.048-.722.037-.186.053-.377-.229-.377zm-.334 2.007c.127.056.393.136.84.11h.44L35.91 29h-.837c-1.304 0-1.821-1.413-1.673-2.334.178-1.098.714-1.744 2.12-1.744 1.351 0 1.402.757 1.263 1.424-.177.845-.882 1.238-1.691 1.474-.017.004-.027.02-.027.038 0 .017.01.032.021.036z"" fill=""#1B458F""/></svg>","https://s3-symbol-logo.tradingview.com/elbit-systems--big.svg"
8,"273011","NICE","NICE","TA-125",NULL,NULL,NULL,"2025-07-18 20:51:03.688615+03","2025-07-18 20:51:03.688615+03","<svg width=""56"" height=""56"" xmlns=""http://www.w3.org/2000/svg""><path fill=""#004650"" d=""M0 0h56v56H0z""/><path d=""M7.797 36.002c.064 0 .203-.156.203-.48v-8.906l5.85 9.063c.123.211.312.323.59.323h2.088c.312 0 .472-.212.472-.48V20.498c0-.268-.172-.497-.473-.497h-1.975c-.267 0-.552.23-.552.497v8.84L8.522 20.34a.642.642 0 00-.59-.341H5.468c-.324 0-.469.174-.469.497v15.026c0 .323.145.479.469.479h2.328zM21 35.523c0 .323.157.479.48.479h2.039c.334 0 .481-.156.481-.48V20.498c0-.323-.147-.497-.481-.497H21.48c-.323 0-.48.174-.48.497v15.026zM26.983 28.244c.078 2.588.51 4.559 1.86 5.93 1.348 1.37 3.176 2.05 5.484 2.05 1.861 0 3.4-.39 4.614-1.18.29-.18.301-.402.045-.68l-1.483-1.517a.589.589 0 00-.713-.089c-.658.39-1.471.59-2.463.59-1.126 0-2.03-.423-2.72-1.27-.702-.836-1.263-2.118-1.263-3.834v-.625c0-3.299 1.475-4.949 3.983-4.949 1.114 0 1.973.156 2.563.48.268.145.502.111.703-.09l1.393-1.393c.256-.256.245-.49-.045-.69-1.07-.792-2.608-1.182-4.614-1.182-2.33 0-4.158.657-5.496 1.984-1.348 1.326-1.782 3.247-1.848 5.84v.625zM52 20.497c0-.234-.255-.497-.49-.497h-9.045c-.234 0-.465.263-.465.497v15.026c0 .234.23.479.465.479h9.023c.257 0 .512-.29.512-.524v-1.992c0-.234-.255-.486-.49-.486H45v-4h4.483c.234 0 .517-.199.517-.466v-1.74c0-.233-.283-.479-.517-.479H45v-3.32h6.51c.257 0 .49-.245.49-.48v-2.018z"" fill=""#fff""/></svg>","https://s3-symbol-logo.tradingview.com/nice--big.svg"
9,"767012","PHOE","PHOENIX","TA-125",NULL,NULL,NULL,"2025-07-18 20:51:03.688615+03","2025-07-18 20:51:03.688615+03","<svg width=""56"" height=""56"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path fill=""#F0F3FA"" d=""M0 0h56v56H0z""/><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M24.933 28.5c0-7.464 4.534-13.61 11.734-14.412a14.454 14.454 0 0 0-1.6-.088c-7.35 0-13.413 5.544-14.29 12.704-1.397-.869-2.567-2.01-3.157-2.587A36.745 36.745 0 0 0 17.5 24l1.5-1h-9v1c4.835 0 9.064 5.21 11.444 9.21C23.384 38.906 28.75 43 35.066 43c.54 0 1.074-.03 1.6-.089-7.2-.8-11.734-6.947-11.734-14.411Z"" fill=""#F15A2D""/><path d=""M29.131 30c-.05-.406-.075-.82-.075-1.238 0-5.955 5.198-10.782 11.61-10.782.452 0 .897.024 1.334.07A10.04 10.04 0 0 0 37.5 17c-5.247 0-9.5 3.95-9.5 8.822A8.29 8.29 0 0 0 29.131 30Z"" fill=""#2C2D72""/></svg>","https://s3-symbol-logo.tradingview.com/phoenix--big.svg"
10,"281014","ICL","ICL","TA-125",NULL,NULL,NULL,"2025-07-18 20:51:03.688615+03","2025-07-18 20:51:03.688615+03","<svg width=""56"" height=""56"" xmlns=""http://www.w3.org/2000/svg""><path fill=""#1F1A6C"" d=""M0 0h56v56H0z""/><path d=""M40.283 32.12L27.79 12h-4.624c5.397 8.89 16.149 26.95 16.149 26.95.832-.402 1.86-.898 2.315-1.695 1.1-1.93-.518-3.817-1.346-5.136zM24.612 17.791c-3.028 4.99-10.556 17.614-10.556 17.614-.385 2.05 1.282 3.004 2.746 3.594l10.233-17.203-2.423-4.005zm3.393 5.752L18.742 39h18.525l-2.531-4H26.12l4.493-7.05-2.608-4.406z"" fill=""#fff""/></svg>","https://s3-symbol-logo.tradingview.com/icl--big.svg"
