ETFs & Hi-Tech Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As of 30/03/2026
Full Name,Security No,Underlying Asset,Exposure profile,Classification,Last Price (0.01 ILS),Change (%),Turnover (K ILS),Last Trade,Unit Price,Purchase Price,Redemption Price,Last update of fund's prices and yields,Fund Features,Tax Status,Code,Change (ILS),Block transactions Turnover,Time of Last Block Transaction,Payment Policy,Sales Load,Distribution Commission,Transactions,Volume,Market Cap (K ILS),Minimum amount for continuous trading phase,Minimum amount for Block Orders,Ex Type,Capital Listed for Trading,ISIN ,Symbol ,Management Fee (%),Fund Trustee
(2649.49) KSM ETF (60) Short TA-RealEstate IL,01186634,TA-RealEstate,60,"Leveraged - Short Leveraged, High-Risk - Stocks in Israel",5894.00,1.80,2026.27,EoD,5874.40,5892.02,5856.77,30/03/2026,"Leveraged,Tracking fund, by investment policy,Reverse exposure fund, by investment policy,Reverse exposure fund, by investment policy ",Tax Exempt,,104.00,,EoD,No Obligation to Distribute Income Payment,0.000,Exempt,34,34257,15059,9,18000,,255498,IL0011866345,KSM.F208,1.000,HERMETIC TRUST LTD
(KSM ETF (6A) Short TA-SME60 IL (1913.2,01147347,TA-SME60,6A,"Leveraged - Short Leveraged, High-Risk - Stocks in Israel",2405.00,0.63,0.52,EoD,2414.24,2421.49,2407.00,30/03/2026,"Leveraged,Tracking fund, by investment policy,Reverse exposure fund, by investment policy,Reverse exposure fund, by investment policy ",Tax Exempt,,15.00,,EoD,No Obligation to Distribute Income Payment,0.000,Exempt,1,21,470,21,41000,,19546,IL0011473472,KSM.F169,2.350,UBANK TRUST COMPANY LTD
ATF ETF (4A) S&P 500 Currency Hedged,01218924,S&P 500 - NTR,4A,Foreign Shares - FX-Hedged Geographical Stocks,6397.00,-1.08,128.33,EoD,6468.40,6487.81,6448.99,26/03/2026,"Unlimited, foreign securities,Tracking fund, by investment policy,Kosher Fund",Tax Exempt,,-70.00,,EoD,No Obligation to Distribute Income Payment,0.000,Exempt,9,2008,73355,7,15000,,1146707,IL0012189242,ANLT.F2,0.000,MIZRAHI TEFAHOT TRUST COMPANY LTD
ATF ETF (4D) S&P 500,01218916,Multiple Assets,4D,Foreign Shares - FX Geographical Stocks,5448.00,-0.26,805.77,EoD,5439.60,5455.92,5423.28,26/03/2026,"Unlimited, foreign securities,Tracking fund, by investment policy,International investments fund – main currency  US Dollar,Kosher Fund",Tax Exempt,,-14.00,,EoD,No Obligation to Distribute Income Payment,0.000,Exempt,34,14866,20841,9,17000,,382547,IL0012189168,ANLT.F1,0.000,MIZRAHI TEFAHOT TRUST COMPANY LTD
Harel Sal (00) Kosher Tel Bond - Shekel IL,01155191,Tel Bond-Shekel,00,Israeli bonds - Corporate and Convertibles,425.16,-0.96,21.36,EoD,426.64,427.07,426.21,30/03/2026,"Tracking fund, by investment policy,Kosher Fund",Tax Exempt,,-4.13,,EoD,No Obligation to Distribute Income Payment,0.000,Exempt,5,5025,173806,460,230000,,40880127,IL0011551913,HRL.FK42,0.000,MIZRAHI TEFAHOT TRUST COMPANY LTD
Harel Sal (00) Kosher Tel Bond 60 CPI Linked IL,01155092,Tel Bond-60 CPI Linked,00,Israeli bonds - Corporate and Convertibles,404.72,-0.48,768.80,EoD,404.70,405.10,404.30,30/03/2026,"Tracking fund, by investment policy,Kosher Fund",Tax Exempt,,-1.95,,EoD,No Obligation to Distribute Income Payment,0.000,Exempt,6,189958,440764,490,250000,,108905976,IL0011550923,HRL.FK41,0.000,MIZRAHI TEFAHOT TRUST COMPANY LTD
Harel Sal (00) Tel Bond - Shekel Bank & Insurance IL,01150747,Tel Bond-Shekel Bank&Insurance,00,Israeli bonds - Corporate and Convertibles,445.91,-0.33,95.07,EoD,446.08,446.53,445.63,30/03/2026,"Tracking fund, by investment policy,Kosher Fund",Tax Exempt,,-1.47,,EoD,No Obligation to Distribute Income Payment,0.000,Exempt,3,21314,146104,440,220000,,32765346,IL0011507477,HRL.F303,0.350,MIZRAHI TEFAHOT TRUST COMPANY LTD
Harel Sal (00) Tel Bond - Shekel IL,01150523,Tel Bond-Shekel,00,Israeli bonds - Corporate and Convertibles,426.59,-0.43,728.30,EoD,426.75,427.18,426.32,30/03/2026,"Tracking fund, by investment policy",Tax Exempt,,-1.84,,EoD,No Obligation to Distribute Income Payment,0.000,Exempt,14,170697,1124157,460,230000,,263521708,IL0011505232,HRL.F24,0.280,MIZRAHI TEFAHOT TRUST COMPANY LTD
Harel Sal (00) Tel Bond 20 CPI Linked IL,01150440,Tel Bond-20 CPI Linked,00,Israeli bonds - Corporate and Convertibles,403.72,-0.74,6.58,EoD,403.64,404.04,403.24,30/03/2026,"Tracking fund, by investment policy",Tax Exempt,,-2.99,,EoD,No Obligation to Distribute Income Payment,0.000,Exempt,3,1629,516644,490,250000,,127970796,IL0011504409,HRL.F3,0.250,MIZRAHI TEFAHOT TRUST COMPANY LTD
Harel Sal (00) Tel Bond 40 CPI Linked IL,01150499,Tel Bond-40 CPI Linked,00,Israeli bonds - Corporate and Convertibles,384.69,-0.58,59.16,EoD,384.21,384.59,383.83,30/03/2026,"Tracking fund, by investment policy",Tax Exempt,,-2.24,,EoD,No Obligation to Distribute Income Payment,0.000,Exempt,6,15336,109665,520,260000,,28507258,IL0011504995,HRL.F13,0.200,MIZRAHI TEFAHOT TRUST COMPANY LTD
