קיתהמ זוחא,"ריינ יווש
םילקשב",השיכרה תולע,יחכונ רעש,תומכ,ריינ םש,ריינ רפסמ
0.40,"1,117.71","1,132.39",357.70,312.47,"ב""הרא רלוד",99028
3.37,"9,358.29","8,087.04","21,802.00",12.00,CHECK POI(CHKP),100560
3.36,"9,341.34","9,258.37","5,223.00",50.00,ALTRIA (MO),101113
4.94,"13,719.58","12,294.06","25,570.00",15.00,INT'L BUSI(IBM),101543
4.48,"12,442.59","16,374.97","11,595.00",30.00,ADV MICRO(AMD),102202
0.27,752.40,694.35,684.00,110.00,םעט ביט,103010
3.38,"9,374.60","9,186.32","1,008.00",260.00,FORD MOTOR(F),103473
2.32,"6,451.12","7,021.76","18,035.00",10.00,APPLIED MA(AMAT,104661
2.50,"6,950.11","8,212.84","1,943.00",100.00,INTEL (INTC),104794
4.28,"11,877.36","12,138.84","41,506.00",8.00,MICROSOFT(MSFT),105049
2.97,"8,252.14","8,449.21","7,690.00",30.00,NIKE(NKE),106070
3.09,"8,580.61","11,212.88","11,423.00",21.00,UNITED PARC(UPS,113399
2.05,"5,691.00","4,586.21",569.10,"1,000.00",קזב,230011
1.34,"3,729.00","3,234.80","33,900.00",11.00,ןורסילמ,323014
1.08,"3,010.40","2,761.24","5,680.00",53.00,תועקשה לארה,585018
1.64,"4,564.80","3,975.00","19,020.00",24.00,ימואלניב,593038
1.62,"4,485.00","3,782.00","4,485.00",100.00,ימואל,604611
1.59,"4,401.60","4,008.12","2,620.00",168.00,א טנוקסיד,691212
1.47,"4,092.00","3,751.80","17,050.00",24.00,תוחפט יחרזמ,695437
1.83,"5,068.00","4,256.82","7,240.00",70.00,סוארטש,746016
1.85,"5,139.10","3,645.25","6,046.00",85.00,סקינפה,767012
2.25,"6,259.03","6,693.71","43,745.00",4.00,ADOBE SYS(ADBE),1050939
3.04,"8,453.88","9,424.50","3,939.00",60.00,VERIZON COM(VZ),1052471
0.04,109.06,0.00,"3,939.00",0.00,(VERIZON COM(VZ דנדביד,1052471
3.96,"11,003.57","9,426.25","34,180.00",9.00,VISA INC (V US),1055714
2.86,"7,933.54","7,800.70","73,931.00",3.00,ASML HOL(ASML),1056472
2.21,"6,142.42","6,155.88","8,586.00",20.00,BEST BUY (BBY),1062728
1.88,"5,211.00","4,412.09","52,110.00",10.00,הצובק קלד,1084128
1.16,"3,216.00","2,470.20","26,800.00",12.00,יול ימר,1104249
1.18,"3,267.00","2,952.10","29,700.00",11.00,הצובק ילאירזע,1119478
1.33,"3,705.00","2,775.60","12,350.00",30.00,סוביס הינד,1173137
2.58,"7,173.67","7,150.15","6,685.00",30.00,UBER US,20001058
3.29,"9,137.80","9,124.39","25,546.00",10.00,MNDY US,26835132
2.48,"6,893.59","7,872.80","9,636.00",20.00,SEAGATE(STX),60007986
2.88,"8,004.79","8,382.08","14,919.00",15.00,CHEVRON (CVX),60081155
2.88,"7,992.81","8,771.96","8,938.00",25.00,NLR US,60166410
2.82,"7,817.89","7,744.40","5,464.00",40.00,REALITY (O US),60175759
2.55,"7,088.54","8,551.04","2,831.00",70.00,GLOBAL X(URA),60258480
0.89,"2,474.71","2,476.85","8,648.00",8.00,GLOBAL X (ARGT),60319902
3.98,"11,037.44","9,803.78","18,151.00",17.00,SNOWFLAKE(SNOW),60349511
2.06,"5,718.05","6,857.00","9,991.00",16.00,ELF BEAUTY(ELF),60414729
2.00,"5,558.66","6,798.86","10,360.00",15.00,DELL US,60458759
1.83,"5,074.03",0.00,0.00,0.00,"קנבב ק""חפ תרתי",
100.00,"277,671.23","כ""הס",,,,
