תומכ תרתי,"ךיראת
עוציב",תיפסכ הרתי,סמ,הלמע,"םוכס
יוכיז/בויחל","עוציב רעש
הקסע",תומכ,"גוס
העונת",ריינ םש,"רפסמ
ריינ",העש,"םוי
ךרע"
"5,446.72",05/01/25,"1,687.17",0.00,0.00,0.00,365.60,12.00,ביד/פה,ביד/ NKE US,99028,,02/01/25
"5,441.72",05/01/25,"1,687.17",0.00,0.00,0.00,365.00,-5.00,למע/שמ,"ח""טמ.ע F US",99028,,02/01/25
"5,438.72",05/01/25,"1,687.17",0.00,0.00,0.00,365.60,-3.00,חסמ/שמ,חסמ/ NKE US,99028,,02/01/25
260.00,05/01/25,"1,687.17",0.00,0.00,0.00,968.00,260.00,"ל""וח/ק",FORD MOTOR(F),103473,,02/01/25
0.00,,"1,687.17",0.00,0.00,0.00,0.00,"2,516.80",USD,"ח""טמב בויח",0,,
9.54,06/01/25,"1,687.17",0.00,0.00,0.00,100.00,9.54,הדקפה,םילובקת סמ- 25,9992975,,06/01/25
-9.54,06/01/25,"1,687.17",0.00,0.00,0.00,100.00,-9.54,הכישמ,םלשל סמ,9992983,,06/01/25
30.00,06/01/25,"1,715.80",9.55,0.00,28.63,0.00,0.00,דנדביד,סוביס הינד,1173137,,06/01/25
"2,921.91",07/01/25,"1,715.80",0.00,0.00,0.00,363.60,-0.01,ביר/שמ,הבוח תיביר 4.12,99028,,06/01/25
17.39,07/01/25,"1,715.80",0.00,0.00,0.00,100.00,7.85,הדקפה,םילובקת סמ- 25,9992975,,07/01/25
-17.39,07/01/25,"1,715.80",0.00,0.00,0.00,100.00,-7.85,הכישמ,םלשל סמ,9992983,,07/01/25
53.00,07/01/25,153.10,0.00,3.00,"1,562.70-","5,199.00",30.00,ףיצר/ק,תועקשה לארה,585018,16:55,07/01/25
"2,940.71",08/01/25,153.10,0.00,0.00,0.00,362.70,18.80,ביד/פה,ביד/ BBY US,99028,,07/01/25
"2,948.34",08/01/25,153.10,0.00,0.00,0.00,362.70,7.63,ביד/פה,ביד/ ARGT US,99028,,07/01/25
"2,943.64",08/01/25,153.10,0.00,0.00,0.00,362.70,-4.70,חסמ/שמ,חסמ/ BBY US,99028,,07/01/25
"2,941.73",08/01/25,153.10,0.00,0.00,0.00,362.70,-1.91,חסמ/שמ,חסמ/ ARGT US,99028,,07/01/25
"2,936.73",08/01/25,153.10,0.00,0.00,0.00,362.70,-5.00,למע/שמ,"ח""טמ.ע SNOW US",99028,,07/01/25
17.00,08/01/25,153.10,0.00,0.00,0.00,"15,900.00",17.00,"ל""וח/ק",SNOWFLAKE(SNOW),60349511,,07/01/25
0.00,,153.10,0.00,0.00,0.00,0.00,"2,703.00",USD,"ח""טמב בויח",0,,
64.45,08/01/25,153.10,0.00,0.00,0.00,100.00,47.06,הדקפה,םילובקת סמ- 25,9992975,,08/01/25
-64.45,08/01/25,153.10,0.00,0.00,0.00,100.00,-47.06,הכישמ,םלשל סמ,9992983,,08/01/25
248.13,09/01/25,153.10,0.00,0.00,0.00,363.60,14.40,ביד/פה,ביד/ STX US,99028,,06/01/25
244.53,09/01/25,153.10,0.00,0.00,0.00,363.60,-3.60,סמ/שמ,סמ/ STX US,99028,,06/01/25
296.43,09/01/25,153.10,0.00,0.00,0.00,362.70,51.90,ביד/פה,ביד/ URA US,99028,,07/01/25
283.45,09/01/25,153.10,0.00,0.00,0.00,362.70,-12.98,חסמ/שמ,חסמ/ URA US,99028,,07/01/25
